,team_name,season,total_goals,total_games,total_points,teamID,name,leagueID,country,standing
0,Bayern Munich,2014,80,34,79,117,Bayern Munich,Bundesliga,Germany,1
1,Wolfsburg,2014,72,34,69,131,Wolfsburg,Bundesliga,Germany,2
2,Borussia M.Gladbach,2014,53,34,66,130,Borussia M.Gladbach,Bundesliga,Germany,3
3,Bayer Leverkusen,2014,62,34,61,119,Bayer Leverkusen,Bundesliga,Germany,4
4,Augsburg,2014,43,34,49,121,Augsburg,Bundesliga,Germany,5
5,Schalke 04,2014,42,34,48,124,Schalke 04,Bundesliga,Germany,6
6,Borussia Dortmund,2014,47,34,46,129,Borussia Dortmund,Bundesliga,Germany,7
7,Hoffenheim,2014,49,34,44,120,Hoffenheim,Bundesliga,Germany,8
8,Eintracht Frankfurt,2014,56,34,43,132,Eintracht Frankfurt,Bundesliga,Germany,9
9,Werder Bremen,2014,50,34,43,123,Werder Bremen,Bundesliga,Germany,9
10,FC Cologne,2014,34,34,40,134,FC Cologne,Bundesliga,Germany,11
11,Mainz 05,2014,45,34,40,125,Mainz 05,Bundesliga,Germany,11
12,Hannover 96,2014,40,34,37,128,Hannover 96,Bundesliga,Germany,13
13,VfB Stuttgart,2014,42,34,36,133,VfB Stuttgart,Bundesliga,Germany,14
14,Hamburger SV,2014,25,34,35,118,Hamburger SV,Bundesliga,Germany,15
15,Hertha Berlin,2014,36,34,35,122,Hertha Berlin,Bundesliga,Germany,15
16,Freiburg,2014,36,34,34,135,Freiburg,Bundesliga,Germany,17
17,Paderborn,2014,31,34,31,205,Paderborn,Bundesliga,Germany,18
18,Bayern Munich,2015,80,34,88,117,Bayern Munich,Bundesliga,Germany,1
19,Borussia Dortmund,2015,82,34,78,129,Borussia Dortmund,Bundesliga,Germany,2
20,Bayer Leverkusen,2015,56,34,60,119,Bayer Leverkusen,Bundesliga,Germany,3
21,Borussia M.Gladbach,2015,67,34,55,130,Borussia M.Gladbach,Bundesliga,Germany,4
22,Schalke 04,2015,51,34,52,124,Schalke 04,Bundesliga,Germany,5
23,Hertha Berlin,2015,42,34,50,122,Hertha Berlin,Bundesliga,Germany,6
24,Mainz 05,2015,46,34,50,125,Mainz 05,Bundesliga,Germany,6
25,Wolfsburg,2015,47,34,45,131,Wolfsburg,Bundesliga,Germany,8
26,FC Cologne,2015,38,34,43,134,FC Cologne,Bundesliga,Germany,9
27,Hamburger SV,2015,40,34,41,118,Hamburger SV,Bundesliga,Germany,10
28,Ingolstadt,2015,33,34,40,126,Ingolstadt,Bundesliga,Germany,11
29,Augsburg,2015,42,34,38,121,Augsburg,Bundesliga,Germany,12
30,Darmstadt,2015,38,34,38,127,Darmstadt,Bundesliga,Germany,12
31,Werder Bremen,2015,50,34,38,123,Werder Bremen,Bundesliga,Germany,12
32,Hoffenheim,2015,39,34,37,120,Hoffenheim,Bundesliga,Germany,15
33,Eintracht Frankfurt,2015,34,34,36,132,Eintracht Frankfurt,Bundesliga,Germany,16
34,VfB Stuttgart,2015,50,34,33,133,VfB Stuttgart,Bundesliga,Germany,17
35,Hannover 96,2015,31,34,25,128,Hannover 96,Bundesliga,Germany,18
36,Bayern Munich,2016,89,34,82,117,Bayern Munich,Bundesliga,Germany,1
37,RasenBallsport Leipzig,2016,66,34,67,136,RasenBallsport Leipzig,Bundesliga,Germany,2
38,Borussia Dortmund,2016,72,34,64,129,Borussia Dortmund,Bundesliga,Germany,3
39,Hoffenheim,2016,64,34,62,120,Hoffenheim,Bundesliga,Germany,4
40,FC Cologne,2016,51,34,49,134,FC Cologne,Bundesliga,Germany,5
41,Hertha Berlin,2016,43,34,49,122,Hertha Berlin,Bundesliga,Germany,5
42,Freiburg,2016,42,34,48,135,Freiburg,Bundesliga,Germany,7
43,Borussia M.Gladbach,2016,45,34,45,130,Borussia M.Gladbach,Bundesliga,Germany,8
44,Werder Bremen,2016,61,34,45,123,Werder Bremen,Bundesliga,Germany,8
45,Schalke 04,2016,45,34,43,124,Schalke 04,Bundesliga,Germany,10
46,Eintracht Frankfurt,2016,36,34,42,132,Eintracht Frankfurt,Bundesliga,Germany,11
47,Bayer Leverkusen,2016,53,34,41,119,Bayer Leverkusen,Bundesliga,Germany,12
48,Augsburg,2016,35,34,38,121,Augsburg,Bundesliga,Germany,13
49,Hamburger SV,2016,33,34,38,118,Hamburger SV,Bundesliga,Germany,13
50,Mainz 05,2016,44,34,37,125,Mainz 05,Bundesliga,Germany,15
51,Wolfsburg,2016,34,34,37,131,Wolfsburg,Bundesliga,Germany,15
52,Ingolstadt,2016,36,34,32,126,Ingolstadt,Bundesliga,Germany,17
53,Darmstadt,2016,28,34,25,127,Darmstadt,Bundesliga,Germany,18
54,Bayern Munich,2017,92,34,84,117,Bayern Munich,Bundesliga,Germany,1
