playerID,name,position,leagueID
560,Sergio Romero,GK,Serie A
557,Matteo Darmian,DR,Serie A
548,Daley Blind,DC,Premier League
628,Chris Smalling,DC,Premier League
1006,Luke Shaw,DL,Premier League
551,Morgan Schneiderlin,DMC,Premier League
654,Michael Carrick,DMC,Premier League
554,Juan Mata,AMR,Premier League
555,Memphis Depay,FW,Ligue 1
631,Ashley Young,DR,Premier League
631,Ashley Young,DL,Premier League
629,Wayne Rooney,FW,Premier League
552,Ander Herrera,MC,Premier League
627,Antonio Valencia,DR,Premier League
907,Bastian Schweinsteiger,DMC,Premier League
651,Michel Vorm,GK,Premier League
638,Kyle Walker,DR,Premier League
639,Toby Alderweireld,DC,Premier League
640,Jan Vertonghen,DC,Premier League
660,Ben Davies,DL,Premier League
914,Nabil Bentaleb,MC,Bundesliga
643,Eric Dier,DC,Premier League
642,Mousa Dembélé,DMC,Premier League
646,Christian Eriksen,AMC,Premier League
648,Nacer Chadli,AML,Premier League
647,Harry Kane,FW,Premier League
649,Ryan Mason,DMC,Premier League
644,Erik Lamela,Sub,Premier League
645,Dele Alli,AMC,Premier League
455,Artur Boruc,GK,Premier League
456,Simon Francis,DC,Premier League
458,Steve Cook,DC,Premier League
457,Tommy Elphick,DC,Premier League
459,Charlie Daniels,DL,Premier League
461,Matt Ritchie,MR,Premier League
460,Andrew Surman,MC,Premier League
462,Dan Gosling,MC,Premier League
466,Marc Pugh,ML,Premier League
465,Joshua King,FW,Premier League
468,Callum Wilson,FW,Premier League
957,Yann Kermorgant,Sub,Premier League
472,Eunan O&#039;Kane,Sub,Premier League
464,Max Gradel,AML,Ligue 1
662,Brad Guzan,GK,Premier League
674,Leandro Bacuna,Sub,Premier League
665,Micah Richards,DC,Premier League
875,Ciaran Clark,DC,Premier League
961,Jordan Amavi,DL,Ligue 1
668,Idrissa Gueye,MC,Premier League
669,Ashley Westwood,MC,Premier League
677,Jordan Veretout,MC,Serie A
672,Jordan Ayew,FW,Premier League
890,Gabriel Agbonlahor,FW,Premier League
679,Scott Sinclair,Sub,Premier League
667,Carlos Sánchez,MC,Premier League
899,Kieran Richardson,DL,Premier League
671,Rudy Gestede,Sub,Premier League
600,Tim Howard,GK,Premier League
585,Seamus Coleman,DR,Premier League
587,Phil Jagielka,DC,Premier League
586,John Stones,DC,Premier League
909,Brendan Galloway,DL,Premier League
589,James McCarthy,DMC,Premier League
590,Gareth Barry,DMC,Premier League
595,Kevin Mirallas,Sub,Premier League
592,Ross Barkley,AMC,Premier League
596,Tom Cleverley,MC,Premier League
594,Romelu Lukaku,FW,Premier League
601,Arouna Koné,Sub,Premier League
598,Bryan Oviedo,DL,Premier League
824,Steven Naismith,AMC,Premier League
564,Heurelho Gomes,GK,Premier League
565,Nyom,DR,La Liga
566,Sebastian Prödl,DC,Premier League
581,Craig Cathcart,DC,Premier League
568,José Holebas,DL,Premier League
577,Ikechi Anya,Sub,Premier League
570,Valon Behrami,MC,Serie A
572,Etienne Capoue,DMC,Premier League
1016,Miguel Layún,DR,La Liga
582,Jurado,ML,Premier League
582,Jurado,MR,La Liga
574,Troy Deeney,FW,Premier League
571,Ben Watson,MC,Premier League
578,Juan Carlos Paredes,Sub,Premier League
573,Odion Ighalo,FW,Premier League
745,Kasper Schmeichel,GK,Premier League
955,Ritchie de Laet,DR,Premier League
747,Robert Huth,DC,Premier League
748,Wes Morgan,DC,Premier League
757,Jeffrey Schlupp,ML,Premier League
753,Marc Albrighton,ML,Premier League
784,Andy King,MC,Premier League
752,Daniel Drinkwater,MC,Premier League
750,Riyad Mahrez,MR,Premier League
755,Jamie Vardy,FW,Premier League
754,Shinji Okazaki,Sub,Premier League
751,N&#039;Golo Kanté,MC,Premier League
749,Christian Fuchs,DL,Premier League
974,Yohan Benalouane,DC,Serie A
580,Costel Pantilimon,GK,Premier League
742,Billy Jones,DR,Premier League
736,Younes Kaboul,DC,Premier League
927,Sebastián Coates,DC,Premier League
730,Patrick van Aanholt,DL,Premier League
738,Lee Cattermole,MC,Premier League
929,Adam Johnson,Sub,Premier League
740,Sebastian Larsson,MC,Premier League
733,Jack Rodwell,MC,Premier League
781,Jeremain Lens,Sub,Premier League
735,Jermain Defoe,FW,Premier League
930,Steven Fletcher,FW,Premier League
1034,Adam Matthews,Sub,Premier League
785,John Ruddy,GK,Premier League
926,Steven Whittaker,DR,Premier League
821,Sebastien Bassong,DC,Premier League
788,Russell Martin,DC,Premier League
789,Robbie Brady,Sub,Premier League
791,Alexander Tettey,DMC,Premier League
792,Jonny Howson,MC,Premier League
793,Wes Hoolahan,AMC,Premier League
801,Graham Dorrans,AMR,Premier League
1011,Bradley Johnson,Sub,Premier League
467,Lewis Grabban,Sub,Premier League
1010,Gary Hooper,Sub,Premier League
790,Nathan Redmond,ML,Premier League
794,Cameron Jerome,FW,Premier League
635,Alex McCarthy,GK,Premier League
510,Joel Ward,DR,Premier League
511,Damien Delaney,DC,Premier League
512,Scott Dann,DC,Premier League
513,Pape Souaré,DL,Premier League
522,Wilfried Zaha,FW,Premier League
633,James McArthur,MC,Premier League
516,Yohan Cabaye,MC,Premier League
514,Jason Puncheon,AMC,Premier League
632,Jordon Mutch,Sub,Premier League
882,Glenn Murray,FW,Premier League
519,Connor Wickham,Sub,Premier League
